unified_customer_id,contract,tenure,monthly_charges,total_charges,estimated_clv_indicator,invoice_count,ticket_count,churn_risk_score,risk_segment
CUST0000104,one_year,71,116.3,8309.55,8257.3,8.0,1.0,15,low_risk
CUST0001210,two_year,72,114.65,8333.95,8254.800000000001,18.0,1.0,5,low_risk
CUST0006276,two_year,71,116.25,8564.75,8253.75,0.0,0.0,30,low_risk
CUST0005835,two_year,72,114.55,8306.05,8247.6,7.0,0.0,5,low_risk
CUST0003623,two_year,72,114.5,8331.95,8244.0,3.0,0.0,20,low_risk
CUST0006339,two_year,71,116.1,8310.55,8243.1,2.0,1.0,20,low_risk
CUST0005231,two_year,72,114.45,8375.05,8240.4,45.0,1.0,15,low_risk
CUST0001381,two_year,72,114.45,8100.55,8240.4,4.0,2.0,25,low_risk
CUST0001513,two_year,71,116.05,8297.5,8239.55,4.0,2.0,25,low_risk
CUST0000167,two_year,72,114.3,8058.55,8229.6,4.0,1.0,15,low_risk
CUST0006790,two_year,72,114.1,8086.4,8215.199999999999,1.0,3.0,40,medium_risk
CUST0003059,two_year,72,114.05,8468.2,8211.6,2.0,1.0,30,low_risk
CUST0002737,two_year,72,114.05,8289.2,8211.6,2.0,1.0,30,low_risk
CUST0006446,two_year,72,114.0,8093.15,8208.0,1.0,2.0,50,medium_risk
CUST0002281,two_year,72,113.8,7845.8,8193.6,15.0,1.0,15,low_risk
CUST0003556,two_year,72,113.65,8182.75,8182.8,9.0,3.0,25,low_risk
CUST0006513,two_year,72,113.65,8124.2,8182.8,1.0,2.0,25,low_risk
CUST0002568,two_year,71,115.15,8078.1,8175.650000000001,9.0,1.0,15,low_risk
CUST0005699,two_year,71,115.05,8016.6,8168.55,20.0,1.0,15,low_risk
CUST0006122,two_year,72,113.4,8164.1,8164.8,0.0,0.0,20,low_risk
CUST0002671,two_year,70,116.55,8152.3,8158.5,7.0,0.0,20,low_risk
CUST0004868,two_year,72,113.1,8248.5,8143.2,22.0,0.0,5,low_risk
CUST0003785,two_year,71,114.6,8100.25,8136.599999999999,4.0,1.0,30,low_risk
CUST0006665,month_to_month,72,112.9,8061.5,8128.8,2.0,0.0,40,medium_risk
CUST0003676,two_year,72,112.75,8192.6,8118.0,4.0,0.0,20,low_risk
CUST0002458,two_year,72,112.6,8126.65,8107.2,4.0,1.0,30,low_risk
CUST0002618,two_year,71,114.0,8175.9,8094.0,14.0,2.0,25,low_risk
CUST0003409,two_year,72,112.4,8046.85,8092.8,14.0,0.0,25,low_risk
CUST0005163,two_year,72,112.25,8041.65,8082.0,10.0,2.0,25,low_risk
CUST0000251,two_year,72,112.1,7965.95,8071.2,4.0,2.0,25,low_risk
CUST0006527,two_year,71,113.65,8166.8,8069.150000000001,1.0,0.0,5,low_risk
CUST0004248,two_year,68,118.6,7990.05,8064.799999999999,10.0,2.0,25,low_risk
CUST0002370,two_year,70,115.15,8250.0,8060.5,12.0,1.0,15,low_risk
CUST0001488,two_year,72,111.95,8033.1,8060.400000000001,5.0,3.0,40,medium_risk
CUST0000419,two_year,72,111.9,8071.05,8056.8,4.0,1.0,30,low_risk
CUST0005108,two_year,70,114.95,7711.25,8046.5,2.0,2.0,25,low_risk
CUST0003768,two_year,72,111.65,8022.85,8038.8,1.0,3.0,30,low_risk
CUST0001695,two_year,72,111.65,7943.45,8038.8,43.0,1.0,25,low_risk
CUST0006257,two_year,72,111.6,8012.75,8035.2,0.0,3.0,40,medium_risk
CUST0000708,two_year,71,113.15,7993.3,8033.650000000001,1.0,0.0,20,low_risk
CUST0006661,one_year,71,113.15,7953.25,8033.650000000001,1.0,1.0,30,low_risk
CUST0003070,two_year,70,114.75,7842.3,8032.5,3.0,1.0,20,low_risk
CUST0000361,two_year,70,114.6,7882.5,8022.0,2.0,3.0,50,medium_risk
CUST0000063,two_year,69,116.0,8182.85,8004.0,14.0,0.0,15,low_risk
CUST0005630,two_year,70,114.3,8244.3,8001.0,26.0,0.0,5,low_risk
CUST0006577,two_year,72,110.9,8240.85,7984.8,1.0,1.0,30,low_risk
CUST0005005,two_year,72,110.9,7922.75,7984.8,9.0,1.0,15,low_risk
CUST0001716,two_year,72,110.8,7882.25,7977.599999999999,4.0,0.0,20,low_risk
CUST0001562,two_year,72,110.75,7751.7,7974.0,1.0,0.0,40,medium_risk
CUST0002989,one_year,68,117.2,8035.95,7969.6,4.0,2.0,40,medium_risk
CUST0006244,two_year,72,110.65,8065.65,7966.8,0.0,3.0,50,medium_risk
CUST0000886,two_year,72,110.6,7962.2,7963.2,4.0,1.0,30,low_risk
CUST0001627,two_year,70,113.65,7939.25,7955.5,4.0,0.0,5,low_risk
CUST0003373,two_year,70,113.65,7714.65,7955.5,4.0,0.0,15,low_risk
CUST0005393,two_year,72,110.45,8058.85,7952.400000000001,15.0,2.0,25,low_risk
CUST0005902,two_year,72,110.45,7982.5,7952.400000000001,8.0,3.0,40,medium_risk
CUST0002504,two_year,72,110.3,7966.9,7941.599999999999,53.0,0.0,15,low_risk
CUST0005358,two_year,72,110.15,7998.8,7930.8,7.0,0.0,15,low_risk
CUST0006408,two_year,72,110.15,7881.2,7930.8,2.0,6.0,40,medium_risk
CUST0002269,two_year,72,110.1,7746.7,7927.2,1.0,0.0,20,low_risk
CUST0001244,two_year,72,109.95,7852.4,7916.400000000001,8.0,3.0,25,low_risk
CUST0002721,two_year,70,113.05,7869.05,7913.5,4.0,1.0,15,low_risk
CUST0000153,two_year,72,109.9,7624.2,7912.8,5.0,3.0,35,medium_risk
CUST0000620,two_year,70,113.0,7987.6,7910.0,2.0,1.0,5,low_risk
CUST0002449,two_year,71,111.3,7985.9,7902.3,14.0,2.0,25,low_risk
CUST0006955,two_year,72,109.75,8075.35,7902.0,2.0,1.0,5,low_risk
CUST0000796,two_year,72,109.75,7932.5,7902.0,21.0,3.0,25,low_risk
CUST0003267,two_year,72,109.75,7758.9,7902.0,7.0,0.0,5,low_risk
CUST0000568,two_year,71,111.25,7984.15,7898.75,16.0,2.0,35,medium_risk
