unified_customer_id,contract,tenure,monthly_charges,activity_status,ticket_count,open_ticket_count,avg_satisfaction_rating,churn_risk_score,risk_segment
CUST0004353,month_to_month,7,53.65,inactive_90_plus_days,3.0,2.0,5.0,95,high_risk
CUST0004703,month_to_month,12,51.25,inactive_90_plus_days,2.0,1.0,2.0,95,high_risk
CUST0001097,month_to_month,11,51.1,inactive_90_plus_days,4.0,0.0,2.0,95,high_risk
CUST0001202,month_to_month,8,45.45,inactive_90_plus_days,2.0,2.0,0.0,95,high_risk
CUST0003301,month_to_month,1,45.2,inactive_90_plus_days,3.0,3.0,0.0,95,high_risk
CUST0002013,month_to_month,1,44.55,inactive_90_plus_days,2.0,1.0,2.0,95,high_risk
CUST0001024,month_to_month,1,43.8,inactive_90_plus_days,2.0,2.0,0.0,95,high_risk
CUST0003191,month_to_month,9,43.75,inactive_90_plus_days,3.0,2.0,4.0,95,high_risk
CUST0000633,month_to_month,4,29.9,inactive_90_plus_days,2.0,1.0,1.0,95,high_risk
CUST0001357,month_to_month,9,103.1,inactive_90_plus_days,3.0,3.0,0.0,90,high_risk
CUST0001319,month_to_month,10,95.25,inactive_90_plus_days,1.0,1.0,0.0,90,high_risk
CUST0004505,month_to_month,4,94.75,inactive_90_plus_days,1.0,1.0,0.0,90,high_risk
CUST0005797,month_to_month,7,94.1,inactive_90_plus_days,1.0,1.0,0.0,90,high_risk
CUST0003593,month_to_month,2,91.15,inactive_90_plus_days,1.0,1.0,0.0,90,high_risk
CUST0006083,month_to_month,6,90.75,inactive_90_plus_days,1.0,1.0,0.0,90,high_risk
CUST0003379,month_to_month,8,90.25,inactive_90_plus_days,3.0,2.0,3.0,90,high_risk
CUST0003186,month_to_month,5,96.55,active_last_30_days,2.0,2.0,0.0,85,high_risk
CUST0002075,month_to_month,3,95.4,active_31_90_days,2.0,2.0,0.0,85,high_risk
CUST0005251,month_to_month,3,94.9,active_last_30_days,3.0,2.0,2.0,85,high_risk
CUST0003479,month_to_month,2,91.45,active_31_90_days,3.0,2.0,4.0,85,high_risk
CUST0005628,month_to_month,11,90.6,active_31_90_days,2.0,0.0,2.0,85,high_risk
CUST0000089,month_to_month,2,90.35,active_31_90_days,2.0,1.0,4.0,85,high_risk
CUST0001309,month_to_month,1,90.1,active_31_90_days,4.0,3.0,1.0,85,high_risk
CUST0000807,month_to_month,11,89.2,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0002888,month_to_month,7,89.15,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0002674,month_to_month,11,86.2,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0001375,month_to_month,4,86.05,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0006165,month_to_month,10,85.95,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0001117,month_to_month,1,85.0,inactive_90_plus_days,1.0,0.0,4.0,85,high_risk
CUST0007018,month_to_month,6,80.8,inactive_90_plus_days,1.0,0.0,2.0,85,high_risk
CUST0004923,month_to_month,2,80.45,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0001915,month_to_month,3,80.35,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0006827,month_to_month,5,80.1,no_activity,3.0,3.0,0.0,85,high_risk
CUST0001480,month_to_month,12,79.95,inactive_90_plus_days,2.0,2.0,0.0,85,high_risk
CUST0003742,month_to_month,11,79.15,inactive_90_plus_days,3.0,3.0,0.0,85,high_risk
CUST0001546,month_to_month,1,79.15,inactive_90_plus_days,3.0,3.0,0.0,85,high_risk
CUST0005030,month_to_month,11,78.1,inactive_90_plus_days,2.0,1.0,5.0,85,high_risk
CUST0004199,month_to_month,9,76.25,inactive_90_plus_days,1.0,0.0,5.0,85,high_risk
CUST0002352,month_to_month,3,76.1,inactive_90_plus_days,1.0,0.0,1.0,85,high_risk
CUST0003544,month_to_month,9,75.85,inactive_90_plus_days,2.0,2.0,0.0,85,high_risk
CUST0003093,month_to_month,7,75.7,inactive_90_plus_days,2.0,1.0,4.0,85,high_risk
CUST0004996,month_to_month,9,75.5,inactive_90_plus_days,2.0,2.0,0.0,85,high_risk
CUST0006704,month_to_month,10,75.3,no_activity,1.0,1.0,0.0,85,high_risk
CUST0002872,month_to_month,3,74.95,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0001263,month_to_month,1,74.6,inactive_90_plus_days,2.0,1.0,1.0,85,high_risk
CUST0005035,month_to_month,12,74.15,inactive_90_plus_days,2.0,1.0,3.0,85,high_risk
CUST0006134,month_to_month,1,74.0,inactive_90_plus_days,2.0,1.0,1.0,85,high_risk
CUST0000343,month_to_month,2,71.65,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0000731,month_to_month,7,71.05,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0003552,month_to_month,1,70.7,inactive_90_plus_days,2.0,1.0,2.0,85,high_risk
CUST0005206,month_to_month,2,70.35,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0002835,month_to_month,3,70.3,inactive_90_plus_days,4.0,2.0,3.0,85,high_risk
CUST0006766,month_to_month,1,70.2,no_activity,1.0,0.0,2.0,85,high_risk
CUST0000655,month_to_month,7,69.9,inactive_90_plus_days,4.0,2.0,4.0,85,high_risk
CUST0003979,month_to_month,7,69.85,inactive_90_plus_days,2.0,2.0,0.0,85,high_risk
CUST0005152,month_to_month,3,69.85,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0003125,month_to_month,2,69.7,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0006350,month_to_month,9,69.05,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0006829,month_to_month,10,65.5,inactive_90_plus_days,3.0,2.0,2.0,85,high_risk
CUST0004725,month_to_month,11,64.9,inactive_90_plus_days,1.0,0.0,5.0,85,high_risk
CUST0000370,month_to_month,2,62.15,inactive_90_plus_days,2.0,2.0,0.0,85,high_risk
CUST0000584,month_to_month,6,60.9,inactive_90_plus_days,3.0,2.0,4.0,85,high_risk
CUST0000935,month_to_month,11,60.9,inactive_90_plus_days,3.0,2.0,3.0,85,high_risk
CUST0005201,month_to_month,8,59.25,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0006888,month_to_month,6,59.15,no_activity,3.0,3.0,0.0,85,high_risk
CUST0004823,month_to_month,2,59.0,inactive_90_plus_days,1.0,0.0,2.0,85,high_risk
CUST0006940,month_to_month,4,57.2,inactive_90_plus_days,2.0,1.0,3.0,85,high_risk
CUST0006329,month_to_month,3,55.9,no_activity,5.0,3.0,4.0,85,high_risk
CUST0002176,month_to_month,5,55.8,inactive_90_plus_days,3.0,1.0,2.5,85,high_risk
CUST0003911,month_to_month,1,55.25,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
CUST0004681,month_to_month,6,55.0,inactive_90_plus_days,1.0,0.0,5.0,85,high_risk
CUST0002987,month_to_month,8,54.75,inactive_90_plus_days,2.0,1.0,1.0,85,high_risk
CUST0000461,month_to_month,1,54.65,inactive_90_plus_days,1.0,1.0,0.0,85,high_risk
