unified_customer_id,telco_customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,is_churned,total_charges_missing_flag,customer_source_system,identity_resolution_method,identity_confidence_score
CUST0000013,0018-NYROU,female,0,yes,no,5,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,68.95,351.5,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000014,0019-EFAEP,female,0,no,no,72,yes,yes,fiber_optic,yes,yes,yes,no,yes,no,two_year,yes,bank_transfer_automatic,101.3,7261.25,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000015,0019-GFNTW,female,0,no,no,56,no,no_phone_service,dsl,yes,yes,yes,yes,no,no,two_year,no,bank_transfer_automatic,45.05,2560.1,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000016,0020-INWCK,female,0,yes,yes,71,yes,yes,fiber_optic,no,yes,yes,no,no,yes,two_year,yes,credit_card_automatic,95.75,6849.4,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000017,0020-JDNXP,female,0,yes,yes,34,no,no_phone_service,dsl,yes,no,yes,yes,yes,yes,one_year,no,mailed_check,61.25,1993.2,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000018,0021-IKXGC,female,1,no,no,1,yes,yes,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,72.1,72.1,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000019,0022-TCJCI,male,1,no,no,45,yes,no,dsl,yes,no,yes,no,no,yes,one_year,no,credit_card_automatic,62.7,2791.5,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000020,0023-HGHWL,male,1,no,no,1,no,no_phone_service,dsl,no,no,no,no,no,no,month_to_month,yes,electronic_check,25.1,25.1,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000021,0023-UYUPN,female,1,yes,no,50,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,electronic_check,25.2,1306.3,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000022,0023-XUOPT,female,0,yes,no,13,yes,yes,fiber_optic,no,yes,yes,no,yes,no,month_to_month,no,electronic_check,94.1,1215.6,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000023,0027-KWYKW,female,0,yes,yes,23,yes,yes,fiber_optic,no,no,no,no,yes,no,month_to_month,yes,electronic_check,83.75,1849.95,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000024,0030-FNXPP,female,0,no,no,3,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.85,57.2,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000025,0031-PVLZI,female,0,yes,yes,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,20.35,76.35,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000026,0032-PGELS,female,0,yes,yes,1,no,no_phone_service,dsl,yes,no,no,no,no,no,month_to_month,no,bank_transfer_automatic,30.5,30.5,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000027,0036-IHMOT,female,0,yes,yes,55,yes,no,fiber_optic,no,yes,yes,yes,yes,yes,one_year,yes,bank_transfer_automatic,103.7,5656.75,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000028,0040-HALCW,male,0,yes,yes,54,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_automatic,20.4,1090.6,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000029,0042-JVWOJ,male,0,no,no,26,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,bank_transfer_automatic,19.6,471.85,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000030,0042-RLHYP,female,0,yes,yes,69,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_automatic,19.7,1396.9,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000031,0048-LUMLS,male,0,yes,yes,37,yes,no,fiber_optic,no,no,no,no,yes,yes,one_year,no,credit_card_automatic,91.2,3247.55,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000032,0048-PIHNL,female,0,yes,no,49,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_automatic,20.45,900.9,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000033,0052-DCKON,male,0,yes,no,66,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,no,bank_transfer_automatic,115.8,7942.15,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000034,0052-YNYOT,female,0,no,no,67,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,electronic_check,20.55,1343.4,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000035,0056-EPFBG,male,0,yes,yes,20,no,no_phone_service,dsl,yes,no,yes,yes,no,no,two_year,yes,credit_card_automatic,39.4,825.4,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000036,0057-QBUQH,female,0,no,yes,43,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,electronic_check,25.1,1070.15,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000037,0058-EVZWM,female,0,yes,no,55,yes,yes,fiber_optic,yes,no,no,no,yes,no,month_to_month,yes,bank_transfer_automatic,89.8,4959.6,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000038,0060-FUALY,female,0,yes,no,59,yes,yes,fiber_optic,yes,yes,no,no,yes,no,month_to_month,yes,electronic_check,94.75,5597.65,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000039,0064-SUDOG,female,0,yes,yes,12,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_automatic,20.3,224.5,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000040,0064-YIJGF,male,0,yes,yes,27,yes,yes,fiber_optic,no,no,no,no,no,no,month_to_month,yes,bank_transfer_automatic,75.75,1929.0,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000041,0067-DKWBL,male,1,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month_to_month,yes,electronic_check,49.25,91.1,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000042,0068-FIGTF,female,0,no,no,27,yes,no,dsl,no,yes,yes,yes,yes,yes,one_year,no,mailed_check,78.2,2078.95,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000043,0071-NDAFP,male,0,yes,yes,25,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_automatic,25.5,630.6,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000044,0074-HDKDG,male,0,yes,yes,25,yes,no,dsl,yes,yes,yes,no,no,no,one_year,yes,bank_transfer_automatic,61.6,1611.0,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000045,0076-LVEPS,male,0,no,yes,29,no,no_phone_service,dsl,yes,yes,yes,yes,no,no,month_to_month,yes,mailed_check,45.0,1242.45,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000046,0078-XZMHT,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_automatic,85.15,6316.2,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000047,0080-EMYVY,female,0,no,no,14,yes,no,dsl,no,yes,no,no,no,no,one_year,no,credit_card_automatic,51.45,727.85,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000048,0080-OROZO,female,0,no,no,35,yes,no,fiber_optic,no,no,yes,yes,yes,yes,one_year,yes,electronic_check,99.25,3532.0,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000049,0082-LDZUE,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month_to_month,yes,mailed_check,44.3,44.3,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000050,0082-OQIQY,male,0,no,no,29,yes,no,fiber_optic,no,no,no,yes,yes,yes,month_to_month,yes,electronic_check,94.2,2607.6,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000051,0083-PIVIK,male,0,no,no,64,yes,yes,dsl,yes,yes,yes,yes,yes,no,one_year,no,electronic_check,81.25,5567.55,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000052,0089-IIQKO,female,0,yes,yes,39,yes,yes,fiber_optic,no,no,no,yes,yes,yes,month_to_month,yes,credit_card_automatic,99.95,3767.4,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000053,0093-EXYQL,female,1,no,no,40,yes,no,fiber_optic,no,no,no,no,yes,yes,month_to_month,yes,electronic_check,91.55,3673.6,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000054,0093-XWZFY,male,0,no,no,40,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,credit_card_automatic,104.5,4036.85,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000055,0094-OIFMO,female,1,no,no,11,yes,no,fiber_optic,no,yes,no,no,yes,yes,month_to_month,yes,electronic_check,95.0,1120.3,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000056,0096-BXERS,female,0,yes,no,6,yes,yes,dsl,no,no,no,no,no,no,month_to_month,no,electronic_check,50.35,314.55,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000057,0096-FCPUF,male,0,no,no,30,yes,yes,dsl,yes,no,no,no,no,yes,month_to_month,yes,mailed_check,64.5,1888.45,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000058,0098-BOWSO,male,0,no,no,27,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,electronic_check,19.4,529.8,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000059,0100-DUVFC,male,1,yes,no,70,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,electronic_check,104.8,7308.95,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000060,0103-CSITQ,female,0,yes,no,57,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,one_year,yes,bank_transfer_automatic,109.4,6252.7,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000061,0104-PPXDV,male,0,yes,no,58,yes,no,dsl,no,no,yes,no,no,no,one_year,no,credit_card_automatic,50.3,2878.55,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000062,0106-GHRQR,male,0,no,no,16,yes,yes,dsl,no,yes,yes,no,no,yes,month_to_month,yes,bank_transfer_automatic,71.4,1212.1,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000063,0106-UGRDO,female,0,yes,no,69,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,electronic_check,116.0,8182.85,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000064,0107-WESLM,male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,electronic_check,19.85,19.85,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000065,0107-YHINA,male,0,no,yes,1,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month_to_month,yes,electronic_check,99.75,99.75,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000066,0111-KLBQG,male,1,yes,yes,32,yes,no,fiber_optic,no,yes,no,no,yes,yes,month_to_month,yes,mailed_check,93.95,2861.45,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000067,0112-QAWRZ,male,0,yes,yes,16,yes,yes,fiber_optic,no,no,yes,no,yes,no,month_to_month,yes,bank_transfer_automatic,90.8,1442.2,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000068,0112-QWPNC,male,0,yes,no,49,yes,yes,dsl,yes,no,yes,yes,yes,yes,one_year,no,electronic_check,84.35,4059.35,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000069,0114-IGABW,female,0,yes,no,71,no,no_phone_service,dsl,no,yes,yes,yes,yes,yes,two_year,no,bank_transfer_automatic,58.25,4145.9,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000070,0114-PEGZZ,female,0,no,no,33,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,no,electronic_check,107.55,3645.5,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000071,0114-RSRRW,female,0,yes,no,10,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,bank_transfer_automatic,19.95,187.75,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000072,0115-TFERT,male,0,yes,no,21,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,month_to_month,yes,electronic_check,111.2,2317.1,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000073,0117-LFRMW,male,0,yes,yes,37,no,no_phone_service,dsl,yes,yes,yes,no,no,no,month_to_month,no,bank_transfer_automatic,40.2,1448.8,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000074,0118-JPNOY,female,1,no,no,26,yes,no,fiber_optic,yes,no,no,no,yes,no,month_to_month,yes,credit_card_automatic,85.8,2193.65,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000075,0121-SNYRK,male,0,no,no,50,no,no_phone_service,dsl,yes,no,no,yes,no,no,one_year,yes,mailed_check,35.4,1748.9,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000076,0122-OAHPZ,female,0,no,no,7,yes,yes,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,73.85,511.25,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000077,0123-CRBRT,female,0,yes,yes,61,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,no,mailed_check,88.1,5526.75,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000078,0125-LZQXK,male,0,no,no,15,yes,no,fiber_optic,no,no,yes,yes,yes,yes,month_to_month,yes,electronic_check,101.35,1553.95,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000079,0128-MKWSG,female,0,no,yes,26,no,no_phone_service,dsl,yes,no,no,yes,no,yes,month_to_month,no,mailed_check,45.8,1147.0,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000080,0129-KPTWJ,male,0,yes,no,72,yes,no,fiber_optic,no,no,yes,no,yes,yes,month_to_month,yes,electronic_check,94.65,6747.35,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000081,0129-QMPDR,male,0,yes,yes,44,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,bank_transfer_automatic,20.5,865.05,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000082,0130-SXOUN,male,0,no,no,66,yes,yes,fiber_optic,no,yes,no,no,no,yes,month_to_month,no,credit_card_automatic,89.4,5976.9,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000083,0133-BMFZO,female,0,no,no,2,yes,no,fiber_optic,yes,yes,no,yes,no,no,month_to_month,yes,electronic_check,86.25,181.65,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000084,0134-XWXCE,female,1,no,no,44,yes,no,dsl,no,no,yes,yes,yes,yes,one_year,no,bank_transfer_automatic,74.85,3268.05,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000085,0135-NMXAP,female,0,no,no,12,yes,yes,fiber_optic,no,yes,no,no,yes,no,month_to_month,yes,bank_transfer_automatic,89.75,1052.4,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000086,0136-IFMYD,male,1,yes,no,69,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,two_year,yes,electronic_check,109.95,7634.25,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000087,0137-OCGAB,female,0,no,no,1,yes,yes,fiber_optic,no,yes,no,no,no,no,month_to_month,yes,mailed_check,80.2,80.2,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000088,0137-UDEUO,female,0,no,no,3,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.85,63.75,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000089,0139-IVFJG,female,0,yes,no,2,yes,no,fiber_optic,yes,yes,no,no,yes,no,month_to_month,no,electronic_check,90.35,190.5,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000090,0141-YEAYS,female,1,no,no,27,yes,yes,fiber_optic,no,yes,yes,no,no,no,month_to_month,yes,bank_transfer_automatic,86.45,2401.05,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000091,0142-GVYSN,male,0,no,no,26,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,electronic_check,20.3,511.25,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000092,0147-ESWWR,female,1,yes,no,39,yes,yes,fiber_optic,no,no,no,yes,yes,yes,month_to_month,yes,electronic_check,101.25,3949.15,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000093,0148-DCDOS,male,0,no,no,25,yes,yes,fiber_optic,no,no,no,no,yes,yes,month_to_month,yes,bank_transfer_automatic,94.7,2362.1,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000094,0151-ONTOV,female,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,no,mailed_check,70.9,70.9,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000095,0156-FVPTA,male,0,yes,no,22,yes,no,dsl,yes,no,no,yes,no,no,month_to_month,yes,electronic_check,54.2,1152.7,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000096,0164-APGRB,female,0,no,no,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,electronic_check,114.9,8496.7,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000097,0164-XAIRP,female,0,no,no,24,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_automatic,19.55,470.2,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000098,0168-XZKBB,female,0,yes,no,19,yes,yes,fiber_optic,no,no,no,no,yes,no,month_to_month,yes,electronic_check,86.85,1564.4,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000099,0174-QRVVY,male,0,yes,yes,71,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_automatic,25.35,1847.55,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000100,0177-PXBAT,male,1,yes,no,33,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,month_to_month,yes,bank_transfer_automatic,109.9,3694.7,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000101,0178-CIIKR,female,0,no,no,3,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.95,58.0,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000102,0178-SZBHO,male,0,yes,yes,47,yes,yes,fiber_optic,no,yes,no,no,yes,no,month_to_month,no,electronic_check,87.2,4017.45,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000103,0181-RITDD,male,0,yes,yes,62,yes,no,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,no,mailed_check,108.15,6825.65,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000104,0186-CAERR,male,0,no,no,71,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,yes,bank_transfer_automatic,116.3,8309.55,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000105,0187-QSXOE,male,1,yes,no,7,yes,no,fiber_optic,no,no,no,no,yes,yes,month_to_month,yes,electronic_check,89.0,605.45,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000106,0187-WZNAB,female,0,yes,yes,27,yes,no,fiber_optic,yes,no,no,no,no,no,month_to_month,no,mailed_check,74.4,1972.35,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000107,0188-GWFLE,male,0,no,no,2,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,20.05,33.7,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000108,0191-EQUUH,female,0,no,yes,25,no,no_phone_service,dsl,yes,no,no,yes,no,no,two_year,no,bank_transfer_automatic,35.05,844.45,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000109,0191-ZHSKZ,male,1,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,month_to_month,yes,electronic_check,74.75,2111.3,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000110,0193-ESZXP,female,1,yes,no,58,yes,no,fiber_optic,yes,yes,no,yes,yes,yes,one_year,yes,credit_card_automatic,105.5,6205.5,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000111,0195-IESCP,male,0,yes,no,10,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,electronic_check,85.25,855.3,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000112,0196-JTUQI,female,0,no,no,9,yes,yes,fiber_optic,no,no,no,no,no,no,month_to_month,yes,credit_card_automatic,75.2,633.85,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000113,0196-VULGZ,female,1,yes,no,6,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,electronic_check,84.35,474.9,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000114,0197-PNKNK,female,0,yes,yes,69,yes,yes,fiber_optic,yes,no,yes,no,no,no,one_year,no,bank_transfer_automatic,84.45,5848.6,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000115,0201-MIBOL,female,1,no,no,66,yes,yes,fiber_optic,yes,no,no,no,yes,yes,two_year,yes,bank_transfer_automatic,102.4,6471.85,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000116,0201-OAMXR,female,0,no,no,70,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,no,credit_card_automatic,115.55,8127.6,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000117,0203-HHYIJ,male,0,no,no,25,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_automatic,25.3,676.35,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000118,0206-OYVOC,female,0,yes,yes,46,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,19.25,864.2,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000119,0206-TBWLC,female,0,yes,no,54,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,yes,mailed_check,114.65,6049.5,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000120,0207-MDKNV,female,0,no,no,15,yes,no,fiber_optic,yes,no,yes,yes,yes,yes,month_to_month,no,electronic_check,105.1,1582.75,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000121,0208-BPQEJ,female,0,yes,yes,12,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,bank_transfer_automatic,19.4,198.1,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000122,0212-ISBBF,female,0,no,no,22,no,no_phone_service,dsl,no,yes,no,no,yes,yes,month_to_month,yes,electronic_check,50.35,1098.85,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
